code,name,price,market_cap,roe,change_5d,change_20d,trend,ma20,ma60,score
sh.600301,华锡有色,38.36,242.65288494,15.56,1.1070110701107057,5.095890410958902,震荡,38.568,35.01116666666667,75
sz.002906,华阳集团,30.58,160.52024274,10.48,-0.7787151200519208,4.83373328762426,上升,30.56000000000001,30.282666666666668,75
sz.002429,兆驰股份,7.42,335.89899304,10.47,-4.010349288486423,3.486750348675035,上升,7.267499999999998,6.644666666666668,75
sz.001376,百通能源,16.84,77.61556,18.17,-2.036067481093667,20.716845878136205,上升,16.014,13.952333333333335,75
sh.688093,世华科技,36.85,103.32105848,15.11,-0.24363833243095917,5.708548479632823,震荡,36.041,36.05783333333332,75
sz.002867,周大生,12.18,132.21072017,15.72,0.24691358024690832,2.267002518891684,震荡,12.127500000000001,12.757499999999997,75
sh.603040,新坐标,91.99,125.55429563,16.36,1.8151632540121758,12.829633263829257,上升,84.2465,78.66149999999998,75
sh.601137,博威合金,21.37,175.56784278,17.92,-1.2933025404156933,3.4866828087167194,震荡,21.166,21.63099999999999,75
sz.300401,花园生物,15.12,82.17263845,10.17,-1.7543859649122893,7.234042553191486,上升,15.068000000000001,14.287666666666665,75
sh.605488,福莱新材,34.35,96.25510937,10.48,1.6272189349112554,5.627306273062725,上升,32.6175,32.37733333333333,75
sz.300896,爱美客,141.72,428.83346885,28.01,0.489257604764942,1.6642754662840695,下降,141.99849999999998,150.3623333333333,75
sh.603611,诺力股份,24.45,62.9833934,16.56,0.16386726751331074,6.07375271149674,震荡,23.751,23.843166666666665,75
sh.600114,东睦股份,30.55,192.88765222,14.87,0.4934210526315859,1.562500000000008,上升,30.256999999999998,29.183999999999994,75
sz.300354,东华测试,45.5,62.93569146,17.21,2.3852385238523905,8.59188544152745,震荡,44.04600000000001,45.65200000000001,75
sz.301596,瑞迪智驱,78.62,60.66735886,16.01,3.7750791974656797,8.128180442855195,震荡,73.99449999999999,75.64216666666665,75
sh.688213,思特威-W,95.09,382.47591891,15.32,0.11581385554853593,4.425653415330552,震荡,93.186,96.98533333333334,75
sz.003000,劲仔食品,11.39,51.35684471,21.61,-0.8703220191470813,0.08787346221440936,下降,11.574000000000002,11.777666666666665,75
sz.301589,诺瓦星云,164.55,152.123184,17.38,-1.052315093205051,6.920077972709556,震荡,158.30400000000003,161.81949999999998,75
sh.603198,迎驾贡酒,39.56,316.48,27.91,-0.9514271407110553,1.6443987667009263,下降,39.7385,40.86166666666667,75
sh.601577,长沙银行,9.7,390.09071414,11.81,-0.9193054136874348,2.1052631578947296,上升,9.682,9.674666666666669,75
sh.605020,永和股份,26.89,137.3440298,15.36,-0.03717472118958368,4.671078240560527,震荡,26.426499999999997,26.493,75
sh.603179,新泉股份,73.88,376.89283055,17.99,7.5087310826542435,8.775029446407528,震荡,67.30400000000002,68.48583333333333,75
sh.600531,豫光金铅,11.75,142.08836702,15.67,-4.003267973856211,8.998144712430435,震荡,11.4225,11.702166666666665,75
sz.002833,弘亚数控,16.37,69.44676727,18.44,2.312500000000006,3.1505986137366215,震荡,15.9215,16.160500000000003,75
sz.000811,冰轮环境,18.52,183.80692282,10.96,-0.26925148088314865,6.131805157593125,上升,17.723499999999994,15.384833333333331,75
sz.301028,东亚机械,14.58,55.99444451,15.67,-2.213279678068411,0.5517241379310349,震荡,14.904999999999998,14.226166666666666,75
sh.605296,神农集团,29.32,153.86092736,15.08,1.629116117850949,6.193408185440061,震荡,28.375,28.982499999999998,75
sh.603979,金诚信,76.15,475.00853625,19.44,-0.19659239842724965,13.234200743494432,上升,74.44950000000001,67.82816666666668,75
sz.300228,富瑞特装,9.89,59.0853868,10.77,-3.7000973709834373,8.087431693989073,上升,9.728499999999997,8.740666666666666,75
sh.600885,宏发股份,30.4,470.46867115,18.28,-0.9771986970684062,2.66801756163458,震荡,30.544999999999998,29.921,75
sz.000683,博源化工,7.44,276.53226806,13.11,1.2244897959183776,7.982583454281578,上升,7.232000000000001,6.9830000000000005,75
sz.300008,天海防务,7.89,136.34149859,10.48,-2.4721878862793596,0.2541296060991051,上升,7.860499999999999,7.455833333333333,75
sh.688486,龙迅股份,74.31,99.07601302,10.22,0.8413624643778052,3.7414491134999404,上升,72.877,71.43800000000002,75
sh.603300,海南华铁,7.85,156.7542534,10.36,-4.15140415140415,8.575380359612714,上升,7.534499999999999,7.4818333333333324,75
sz.002372,伟星新材,10.43,166.04956215,18.11,-2.0657276995305223,1.6569200779727087,震荡,10.6125,10.472166666666665,75
sh.603369,今世缘,34.78,433.63705287,23.74,-0.7986309184255593,0.23054755043227174,下降,35.1545,37.14966666666667,75
sz.002970,锐明技术,48.5,87.6090905,18.8,-0.18522329697469314,1.6345347862531459,震荡,48.73899999999999,46.96583333333333,75
sz.000902,新洋丰,15.62,195.98935442,13.1,-0.44614404079031417,3.5809018567639197,上升,15.608000000000004,15.394833333333334,75
sz.002483,润邦股份,7.14,63.29384469,11.57,0.7052186177715067,2.2922636103151754,上升,7.073499999999998,6.962166666666667,75
sh.603067,振华股份,28.81,204.7700358,15.91,-3.2896945283652244,4.270720231632283,震荡,29.367999999999995,27.083499999999997,75
sz.300770,新媒股份,42.41,96.62634644,17.24,-0.39924847346172315,1.605174892189733,震荡,42.12149999999999,43.486666666666665,75
